,g,max_delta,max_ll_x,max_mu_hat,max_s2_t_hat,n,time,l,M,model,BIC,max_ll_y,D,pval,qval
67,GRPEL1,0.008447309288650905,202.33438821403848,0.03172073233841338,0.0124986482747339,251,0.0005512237548828125,0.37858288392372463,4,SE,-382.56696467154984,200.86202723957155,1.4723609744669375,0.5045087573513891,1.0
68,ZNF576,0.8057678547537749,270.34594017112494,0.019073517572290366,0.0039528583108536415,251,0.0003409385681152344,0.37858288392372463,4,SE,-518.5900685857227,269.2925744861572,1.05336568496773,0.7265102068600673,1.0
69,CHFR,0.003616647763056194,240.79504882932287,0.026290625978049806,0.009199731386306427,251,0.0006272792816162109,0.37858288392372463,4,SE,-459.4882859021186,238.9361346840348,1.858914145288054,0.3466109598162872,1.0
70,BROX,0.00735276845374519,160.59822319964508,0.05123535643606204,0.01853337987073201,251,0.0005810260772705078,0.37858288392372463,4,SE,-299.094634642763,159.00220846228336,1.5960147373617133,0.4488313467842818,1.0
71,MYO5B,0.007384663165638408,245.81800081825332,0.025369020022400053,0.008787633126278421,251,0.0005328655242919922,0.37858288392372463,4,SE,-469.5341898799795,243.3264228519535,2.4915779662998148,0.17900119912248072,1.0
72,ABCF3,0.8022450806021815,231.54807584549883,0.02444116443949512,0.005448295630076717,251,0.0003440380096435547,0.37858288392372463,4,SE,-440.99433993447053,230.4842341839597,1.0638416615391293,0.7204764376463875,1.0
73,TRMT6,0.008581968053692806,338.34317357875204,0.01255277691776894,0.004065941748443356,251,0.0005388259887695312,0.37858288392372463,4,SE,-654.584535400977,336.4431617848233,1.9000117939287406,0.33254508598600574,1.0
74,ZNF671,0.9360320339794219,337.12870941033214,0.01269296499411971,0.002140167643588041,251,0.0003859996795654297,0.37858288392372463,4,SE,-652.1556070641371,336.4431617848233,0.685547625508832,0.9329644363817504,1.0
75,DDI2,0.006693532571142039,180.33058531836775,0.05071634129018823,0.016139443950630834,251,0.0006120204925537109,0.37858288392372463,4,SE,-338.5593588802084,178.6514251048058,1.6791602135619428,0.41415500475114275,1.0
76,GORAB,0.0024335896778303182,369.8168507487408,0.010787643174217118,0.0031779230245158156,251,0.0006468296051025391,0.37858288392372463,4,SE,-717.5318897409545,366.9576349532527,2.859215795488126,0.11982019837058264,1.0
77,PRKX,0.8330834126367501,302.0703594083503,0.017424973261008274,0.003035056179636387,251,0.00033092498779296875,0.37858288392372463,4,SE,-582.0389070601735,301.10428956717027,0.9660698411800581,0.7771841476786545,1.0
78,FAM104A,0.003578168968123104,368.64227614101327,0.010711831729985112,0.0032017162938099255,251,0.0006279945373535156,0.37858288392372463,4,SE,-715.1827405254994,366.9576349532527,1.684641187760576,0.4119466281420552,1.0
79,EXOC1,0.0037653330878737808,252.0300440636969,0.02660158522753142,0.008478060849044481,251,0.0006380081176757812,0.37858288392372463,4,SE,-481.95827637086666,249.82476670313935,2.2052773605575453,0.24274065159153652,1.0
80,C16orf86,0.8593223143006717,398.3928460447885,0.008300549310224776,0.001352528394088961,251,0.0003387928009033203,0.37858288392372463,4,SE,-774.6838803330498,397.46466806087454,0.9281779839139404,0.7992547507830892,1.0
81,PPP3CC,0.8646708765318019,331.26889486483884,0.012163085276427696,0.0023176872758016117,251,0.0003330707550048828,0.37858288392372463,4,SE,-640.4359779731506,330.39412787625196,0.8747669885868845,0.8302027814350452,1.0
82,BAZ2A,0.8538354672006239,287.8613515197412,0.019837172265565875,0.0033880132945713548,251,0.0003509521484375,0.37858288392372463,4,SE,-553.6208912829553,286.9435953775391,0.9177561422021085,0.805315185214231,1.0
83,PMS1,0.7901023515080128,257.2675342709159,0.023537681964238017,0.004504031496073755,251,0.0003299713134765625,0.37858288392372463,4,SE,-492.4332567853047,256.1496111151254,1.1179231557904927,0.6895864015747939,1.0
84,IL16,0.8486597935741578,266.52607482856286,0.01849583235076707,0.003963884523928022,251,0.00035691261291503906,0.37858288392372463,4,SE,-510.9503379005986,265.6012342706254,0.9248405579374435,0.8011962623120855,1.0
85,CACNA1D,0.0033604040307925543,419.10760361020584,0.0071280748957562685,0.0021189943423924975,251,0.0006318092346191406,0.37858288392372463,4,SE,-816.1133954638846,416.297285230128,2.810318380077831,0.1264632230624442,1.0
86,ZNF514,0.014924958332073386,338.70972585390155,0.012537252828722693,0.004028786958864804,251,0.0006270408630371094,0.37858288392372463,4,SE,-655.317639951276,336.4431617848233,2.2665640690782425,0.22757352832446143,1.0
87,FAM78A,0.9156396560878566,284.19822129085253,0.013635232005976109,0.003268343125942364,251,0.0003249645233154297,0.37858288392372463,4,SE,-546.2946308251779,283.4750960434705,0.7231252473820291,0.9140505411358373,1.0
88,C11orf57,0.007789357850866106,262.90048831702364,0.0196236667519717,0.007509548230553177,251,0.0005390644073486328,0.37858288392372463,4,SE,-503.69916487752016,260.09623615601373,2.804252161009913,0.12731118758313176,1.0
89,ZNF623,0.9711490302505947,209.94851494639897,0.03041342414991023,0.006021157272419692,251,0.00033211708068847656,0.37858288392372463,4,SE,-397.7952181362708,209.28423082115063,0.6642841252483436,0.9431392301044589,1.0
90,ZFAND1,0.020034434932866864,323.43039366499056,0.01307734411393934,0.004521858018484659,251,0.0005362033843994141,0.37858288392372463,4,SE,-624.758975573454,320.8756084392367,2.5547852257538466,0.16718985832812372,1.0
